nfs-server    | Starting rpcbind
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix2fsal_error :FSAL :INFO :Mapping 11 to ERR_FSAL_DELAY
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] mdcache_fsal_create_export :FSAL :MAJ :Failed to call create_export on underlying FSAL VFS
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] fsal_put :FSAL :INFO :FSAL VFS now unused
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] fsal_cfg_commit :CONFIG :CRIT :Could not create export for (/exports) to (/exports)
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] fsal_cfg_commit :FSAL :F_DBG :FSAL VFS refcount 0
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] lookup_fsal :FSAL :F_DBG :FSAL PSEUDO refcount 1
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] pseudofs_create_export :FSAL :DEBUG :Created exp 0x5588c2c74500 - /
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] mdcache_fsal_create_export :FSAL :F_DBG :FSAL MDCACHE refcount 1
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] main :NFS STARTUP :WARN :No export entries found in configuration file !!!
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] config_errs_to_log :CONFIG :CRIT :Config File (/etc/ganesha/ganesha.my.conf:100): 1 validation errors in block FSAL
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] config_errs_to_log :CONFIG :CRIT :Config File (/etc/ganesha/ganesha.my.conf:100): Errors processing block (FSAL)
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] config_errs_to_log :CONFIG :CRIT :Config File (/etc/ganesha/ganesha.my.conf:92): 1 validation errors in block EXPORT
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] config_errs_to_log :CONFIG :CRIT :Config File (/etc/ganesha/ganesha.my.conf:92): Errors processing block (EXPORT)
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] lower_my_caps :NFS STARTUP :EVENT :CAP_SYS_RESOURCE was successfully removed for proper quota management in FSAL
